Date,Symbol,Current price,Market cap,Category,Sector,Industry,% change,Volume
"12th May'26","HYUNDAI","1877.90","154943.46","largecap","auto","automobiles - passenger cars","-1.52","1395049"
"12th May'26","KOTAKBANK","376","75794.60","largecap","bank","banks - private sector","-1.33","13065308"
"12th May'26","XELPMOC","102.29","157.03","smallcap","i.t","computers - software - medium / small","-3.85","60937"
"12th May'26","OBCL","56.18","116.67","smallcap","transportation","miscellaneous","1.52","11798"
"12th May'26","CCAVENUE","14.05","4877.51","smallcap","i.t","computers - software - medium / small","0.717","39369945"
"12th May'26","CEREBRAINT","4.24","54.05","smallcap","i.t","computers - hardware","-4.93","99101"
"12th May'26","RHFL","2.28","106.23","smallcap","financials","finance - housing","4.11","1468817"
